,Afghanistan,Albania,Algeria,Angola,Argentina,Aruba,Australia,Austria,Bahrain,Bangladesh,Barbados,Belgium,Belize,Benin,Bolivia,Brazil,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Costa Rica,Cuba,Cyprus,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,El Salvador,Equatorial Guinea,Ethiopia,Faroe Islands,Fiji,Finland,French Polynesia,Gabon,Ghana,Greece,Greenland,Grenada,Guatemala,Guinea,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Israel,Jamaica,Japan,Jordan,Kenya,Lebanon,Liberia,Libya,Luxembourg,Madagascar,Malaysia,Mali,Malta,Mauritania,Mauritius,Mexico,Mongolia,Morocco,Mozambique,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Norway,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Rwanda,Samoa,Saudi Arabia,Senegal,Sierra Leone,Singapore,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Suriname,Sweden,Switzerland,Tanzania,Thailand,Togo,Tonga,Tunisia,Turkey,Uganda,United Arab Emirates,United Kingdom,United States,Uruguay,Vietnam
Lat,33.93911,41.153332,28.033886,-11.202691999999999,-38.416097,12.52111,-25.274398,47.516231,25.930414000000003,23.684994,13.193887,50.503887,17.189877,9.30769,-16.290154,-14.235004,42.733883,12.238333,12.565679,7.369722,56.130366,19.513469,6.611111,15.454166,-35.675146999999996,35.86166,4.570868,-11.875001,9.748917,21.521757,35.126413,56.26392,11.825138,15.414999,18.735692999999998,-1.8312389999999998,13.794185,1.6508009999999997,9.145,61.892635,-16.578193,61.92411,-17.679742,-0.803689,7.946527000000001,39.074208,71.706936,12.262775999999999,15.783470999999999,9.945587,4.860416000000001,18.971187,15.199998999999998,47.162494,64.96305100000001,20.593684,-0.789275,33.223191,53.41291,31.046051000000002,18.109581,36.204824,30.585164000000002,-0.023559,33.854721000000005,6.4280550000000005,26.3351,49.815273,-18.766947000000002,4.210483999999999,17.570692,35.937496,21.00789,-20.348404000000002,23.634501,46.862496,31.791702,-18.665695,28.394857000000002,52.132633,-20.904304999999997,-40.900557,12.865416,17.607789,9.081999,60.472024,30.375321000000003,7.51498,8.537981,-6.314993,-23.442503,-9.189967,12.879721,51.919438,39.399871999999995,25.354826,45.943160999999996,-1.940278,-13.759029,23.885942,14.497401000000002,8.460555000000001,1.352083,-9.645710000000001,5.152149,-30.559482,40.463667,7.873054,3.9193050000000005,60.128161,46.818188,-6.369028,15.870032,8.619543,-21.178986,33.886917,38.963745,1.373333,23.424076,55.378051,37.09024,-32.522779,14.058323999999999
Lon,67.709953,20.168331,1.6596259999999998,17.873887,-63.616671999999994,-69.968338,133.775136,14.550072,50.637772,90.35633100000001,-59.543198,4.469936,-88.49765,2.315834,-63.588653,-51.92528,25.48583,-1.561593,104.990963,12.354722,-106.34677099999999,-80.566956,20.939444,18.732207,-71.542969,104.195397,-74.297333,43.872219,-83.753428,-77.78116700000001,33.429859,9.501785,42.590275,-61.370976,-70.162651,-78.183406,-88.89653,10.267895,40.489672999999996,-6.9118059999999995,179.414413,25.748151,-149.40684299999998,11.609444,-1.0231940000000002,21.824312,-42.604303,-61.604170999999994,-90.23075899999999,-9.696645,-58.93018000000001,-72.28521500000001,-86.241905,19.503304,-19.020835,78.96288,113.921327,43.679291,-8.243889999999999,34.851612,-77.297508,138.252924,36.238414,37.906193,35.862285,-9.429499,17.228331,6.129583,46.869107,101.97576600000001,-3.9961660000000006,14.375416,-10.940835,57.552152,-102.552784,103.84665600000001,-7.09262,35.529562,84.12400799999999,5.291266,165.618042,174.88597099999998,-85.207229,8.081666,8.675277000000001,8.468946,69.345116,134.58252,-80.782127,143.95555,-58.44383199999999,-75.015152,121.77401699999999,19.145135999999997,-8.224454,51.183884,24.96676,29.873888,-172.10462900000002,45.079162,-14.452361999999999,-11.779889,103.819836,160.156194,46.199616,22.937506,-3.7492199999999998,80.77179699999999,-56.02778299999999,18.643501,8.227511999999999,34.888822,100.992541,0.824782,-175.198242,9.537499,35.243322,32.290275,53.847818000000004,-3.435973,-95.712891,-55.765834999999996,108.277199
